trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9996974352588016}",20,0,-38.64451920512657,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.9993192722457354}",25,3,-129.2023859456406,"{0: 11, 1: 1, 2: 8, 3: 1, 4: 1}",1
3,False,"{'a': 0.5, 'e': 0.9987899241260516}",35,0,-180.40482550118418,"{0: 20, 1: 2, 2: 9, 3: 3, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.9981094709838179}",25,0,-103.97999372435171,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.9972780157634921}",35,0,-232.17463454848922,"{0: 20, 1: 4, 2: 6, 3: 1, 4: 4}",0
6,False,"{'a': 0.5, 'e': 0.9962956842543487}",25,0,-183.99095911030878,"{0: 15, 1: 2, 2: 3, 3: 2, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.9951626250714479}",20,0,-121.1144943156572,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.9938790096331525}",25,0,-110.00042651968454,"{0: 16, 1: 3, 2: 3, 3: 2, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.9924450321351935}",20,0,-89.76760344027599,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.9908609095212918}",20,0,-115.8624386411824,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.989126881450336}",20,0,-89.82995149545562,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.9872432102601254}",30,0,-99.47034995939201,"{0: 19, 1: 3, 2: 7, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.9852101809276816}",25,0,-122.87587472906564,"{0: 14, 1: 3, 2: 5, 3: 2, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.9830281010261345}",20,5,-35.024598551850765,"{0: 10, 1: 2, 2: 2, 3: 1, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.9806973006781904}",25,4,-116.06152478206752,"{0: 10, 1: 4, 2: 5, 3: 1, 4: 1}",1
16,False,"{'a': 0.5, 'e': 0.9782181325061882}",30,13,-114.35938753117446,"{0: 9, 1: 1, 2: 4, 3: 2, 4: 1}",1
17,False,"{'a': 0.5, 'e': 0.9755909715787519}",25,0,-150.72087053775974,"{0: 17, 1: 0, 2: 5, 3: 0, 4: 3}",0
18,False,"{'a': 0.5, 'e': 0.9728162153540472}",20,0,-24.346133388036776,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.9698942836196508}",25,0,-151.77874979885476,"{0: 13, 1: 5, 2: 4, 3: 1, 4: 2}",0
20,False,"{'a': 0.5, 'e': 0.9668256184290417}",20,0,-100.42223558826284,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
21,False,"{'a': 0.5, 'e': 0.9636106840347234}",25,0,-59.85050028475398,"{0: 16, 1: 4, 2: 4, 3: 1, 4: 0}",0
22,False,"{'a': 0.5, 'e': 0.9602499668179884}",20,0,-173.2160657151875,"{0: 9, 1: 1, 2: 4, 3: 5, 4: 1}",0
23,False,"{'a': 0.5, 'e': 0.956743975215334}",30,0,-46.71742150817784,"{0: 22, 1: 4, 2: 3, 3: 1, 4: 0}",0
24,False,"{'a': 0.5, 'e': 0.9530932396415428}",25,18,-23.099154623397258,"{0: 5, 1: 0, 2: 1, 3: 1, 4: 0}",1
25,False,"{'a': 0.5, 'e': 0.9492983124094364}",30,6,-80.69385765399686,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 1}",1
26,False,"{'a': 0.5, 'e': 0.9453597676463171}",30,0,-98.3561274440892,"{0: 22, 1: 0, 2: 6, 3: 1, 4: 1}",0
27,False,"{'a': 0.5, 'e': 0.9412782012071103}",25,0,-2.7241208282908915,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
28,False,"{'a': 0.5, 'e': 0.9370542305842169}",25,0,-91.75148275791219,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
29,False,"{'a': 0.5, 'e': 0.9326884948140962}",25,0,-121.6703052126673,"{0: 13, 1: 0, 2: 10, 3: 2, 4: 0}",0
30,False,"{'a': 0.5, 'e': 0.9281816543805855}",30,0,-126.99584544268043,"{0: 17, 1: 3, 2: 9, 3: 0, 4: 1}",0
31,False,"{'a': 0.5, 'e': 0.9235343911149778}",25,0,-184.83187846692815,"{0: 13, 1: 4, 2: 4, 3: 1, 4: 3}",0
32,False,"{'a': 0.5, 'e': 0.9187474080928686}",20,0,-77.22860552569568,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
33,False,"{'a': 0.5, 'e': 0.9138214295277884}",30,0,-87.56913990887605,"{0: 20, 1: 3, 2: 6, 3: 0, 4: 1}",0
34,False,"{'a': 0.5, 'e': 0.908757200661639}",20,0,-99.4950269629946,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
35,False,"{'a': 0.5, 'e': 0.9035554876519458}",30,0,-97.81519341042535,"{0: 19, 1: 4, 2: 6, 3: 0, 4: 1}",0
