trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.2, 'e': 0.999000499833375}",20,0,-128.3506382909995,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
2,False,"{'a': 0.2, 'e': 0.9980019986673331}",20,0,-103.11318501062026,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
3,False,"{'a': 0.2, 'e': 0.997004495503373}",25,0,-72.1791293659917,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
4,False,"{'a': 0.2, 'e': 0.9960079893439915}",25,0,-87.89513480730399,"{0: 15, 1: 2, 2: 6, 3: 2, 4: 0}",0
5,False,"{'a': 0.2, 'e': 0.9950124791926823}",35,0,-315.3504758868714,"{0: 19, 1: 0, 2: 10, 3: 0, 4: 6}",0
6,False,"{'a': 0.2, 'e': 0.9940179640539353}",25,0,-135.48800490173153,"{0: 15, 1: 3, 2: 4, 3: 1, 4: 2}",0
7,False,"{'a': 0.2, 'e': 0.9930244429332351}",25,0,-176.16467783079796,"{0: 16, 1: 0, 2: 5, 3: 1, 4: 3}",0
8,False,"{'a': 0.2, 'e': 0.9920319148370607}",25,10,-31.487706086894036,"{0: 10, 1: 1, 2: 4, 3: 0, 4: 0}",1
9,False,"{'a': 0.2, 'e': 0.9910403787728836}",20,0,-84.55408070661245,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
10,False,"{'a': 0.2, 'e': 0.9900498337491681}",25,0,-180.48060793008216,"{0: 13, 1: 1, 2: 7, 3: 2, 4: 2}",0
11,False,"{'a': 0.2, 'e': 0.9890602787753687}",20,0,-162.56037356036407,"{0: 8, 1: 3, 2: 6, 3: 1, 4: 2}",0
12,False,"{'a': 0.2, 'e': 0.9880717128619305}",30,0,-221.42723597609634,"{0: 17, 1: 3, 2: 6, 3: 0, 4: 4}",0
13,False,"{'a': 0.2, 'e': 0.9870841350202876}",20,0,-51.134281985031116,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
14,False,"{'a': 0.2, 'e': 0.9860975442628619}",20,0,-101.71281436648273,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
15,False,"{'a': 0.2, 'e': 0.9851119396030626}",20,1,-28.495662723297876,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 0}",1
16,False,"{'a': 0.2, 'e': 0.9841273200552851}",20,0,-104.31281199808721,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 2}",0
17,False,"{'a': 0.2, 'e': 0.9831436846349096}",25,0,-131.10880340127898,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
18,False,"{'a': 0.2, 'e': 0.9821610323583008}",25,0,-87.13437568981011,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
19,False,"{'a': 0.2, 'e': 0.981179362242806}",25,0,-113.58605021175887,"{0: 14, 1: 5, 2: 3, 3: 2, 4: 1}",0
20,False,"{'a': 0.2, 'e': 0.9801986733067553}",25,13,-40.56451324770204,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 1}",1
21,False,"{'a': 0.2, 'e': 0.9792189645694596}",25,0,-96.6670183600138,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
22,False,"{'a': 0.2, 'e': 0.97824023505121}",20,1,-98.51439059426635,"{0: 11, 1: 0, 2: 7, 3: 0, 4: 1}",1
23,False,"{'a': 0.2, 'e': 0.9772624837732771}",25,0,-253.36140164776805,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 5}",0
24,False,"{'a': 0.2, 'e': 0.9762857097579093}",25,0,-55.398886175333786,"{0: 19, 1: 0, 2: 4, 3: 2, 4: 0}",0
25,False,"{'a': 0.2, 'e': 0.9753099120283326}",20,0,-140.04943366819907,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
26,False,"{'a': 0.2, 'e': 0.9743350896087494}",20,0,-121.30176909444408,"{0: 10, 1: 4, 2: 3, 3: 2, 4: 1}",0
27,False,"{'a': 0.2, 'e': 0.9733612415243368}",20,0,-16.4895294696204,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
28,False,"{'a': 0.2, 'e': 0.9723883668012469}",20,0,-70.26730449566158,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
29,False,"{'a': 0.2, 'e': 0.9714164644666048}",20,0,-86.34937368912617,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
30,False,"{'a': 0.2, 'e': 0.9704455335485082}",25,3,-146.3931202073845,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 3}",1
31,False,"{'a': 0.2, 'e': 0.9694755730760259}",20,15,-34.128626706529765,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 1}",1
32,False,"{'a': 0.2, 'e': 0.9685065820791976}",20,12,-82.99825734674864,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 2}",1
33,False,"{'a': 0.2, 'e': 0.967538559589032}",20,0,-154.25942648101676,"{0: 10, 1: 3, 2: 3, 3: 2, 4: 2}",0
34,False,"{'a': 0.2, 'e': 0.9665715046375066}",25,0,-86.07032158092193,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
