trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.99}",20,0,-38.24091549640919,"{0: 12, 1: 6, 2: 2, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.98}",30,12,-78.4119512929787,"{0: 10, 1: 2, 2: 4, 3: 2, 4: 0}",1
3,False,"{'a': 0.5, 'e': 0.97}",25,0,-187.68263345106666,"{0: 13, 1: 1, 2: 8, 3: 0, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.96}",25,0,-118.82804299081312,"{0: 15, 1: 1, 2: 7, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.95}",25,0,-89.42236707946452,"{0: 17, 1: 4, 2: 1, 3: 2, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.94}",20,0,-75.40457393484522,"{0: 12, 1: 2, 2: 4, 3: 2, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.9299999999999999}",20,0,-52.35247185015175,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.9199999999999999}",25,0,-90.19836335302539,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.9099999999999999}",20,0,-112.04913025858897,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-105.4708563345832,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.8899999999999999}",20,0,-114.03730729182668,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.8799999999999999}",20,0,-139.90101619390597,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.8699999999999999}",20,0,-152.37127826136503,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.8599999999999999}",25,0,-225.7169919138256,"{0: 13, 1: 3, 2: 4, 3: 1, 4: 4}",0
15,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-208.19182165620694,"{0: 7, 1: 3, 2: 6, 3: 1, 4: 3}",0
16,False,"{'a': 0.5, 'e': 0.8399999999999999}",30,0,-105.17828797334191,"{0: 19, 1: 1, 2: 8, 3: 2, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.8299999999999998}",25,0,-69.56953632495328,"{0: 17, 1: 1, 2: 6, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.8199999999999998}",20,0,-58.723204226376225,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.8099999999999998}",30,0,-142.4282892095145,"{0: 16, 1: 4, 2: 8, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.7999999999999998}",35,0,-255.83124709952043,"{0: 16, 1: 4, 2: 11, 3: 1, 4: 3}",0
21,False,"{'a': 0.5, 'e': 0.7899999999999998}",25,0,-179.77729361345052,"{0: 11, 1: 5, 2: 5, 3: 2, 4: 2}",0
22,False,"{'a': 0.5, 'e': 0.7799999999999998}",25,0,-127.35519018753851,"{0: 14, 1: 3, 2: 5, 3: 2, 4: 1}",0
23,False,"{'a': 0.5, 'e': 0.7699999999999998}",30,0,-69.905990000416,"{0: 20, 1: 3, 2: 6, 3: 1, 4: 0}",0
24,False,"{'a': 0.5, 'e': 0.7599999999999998}",25,0,-35.316029877555515,"{0: 18, 1: 3, 2: 4, 3: 0, 4: 0}",0
25,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-113.36068011054626,"{0: 15, 1: 1, 2: 7, 3: 1, 4: 1}",0
26,False,"{'a': 0.5, 'e': 0.7399999999999998}",20,0,-97.79549994001628,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 2}",0
27,False,"{'a': 0.5, 'e': 0.7299999999999998}",30,0,-125.52765280700426,"{0: 19, 1: 1, 2: 7, 3: 2, 4: 1}",0
28,False,"{'a': 0.5, 'e': 0.7199999999999998}",20,0,-66.56938803165419,"{0: 13, 1: 4, 2: 1, 3: 1, 4: 1}",0
29,False,"{'a': 0.5, 'e': 0.7099999999999997}",20,0,-181.16155470028892,"{0: 9, 1: 3, 2: 4, 3: 1, 4: 3}",0
30,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-163.8632505591072,"{0: 13, 1: 1, 2: 9, 3: 0, 4: 2}",0
31,False,"{'a': 0.5, 'e': 0.6899999999999997}",20,0,-44.488923185515034,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",1
32,False,"{'a': 0.5, 'e': 0.6799999999999997}",20,0,-72.7855879322488,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
33,False,"{'a': 0.5, 'e': 0.6699999999999997}",20,0,-111.99681450162495,"{0: 9, 1: 4, 2: 6, 3: 0, 4: 1}",1
34,False,"{'a': 0.5, 'e': 0.6599999999999997}",20,0,-207.3523817734361,"{0: 10, 1: 1, 2: 5, 3: 0, 4: 4}",0
35,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-49.52094239882821,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
36,False,"{'a': 0.5, 'e': 0.6399999999999997}",25,0,-118.98312047675826,"{0: 13, 1: 3, 2: 8, 3: 0, 4: 1}",0
37,False,"{'a': 0.5, 'e': 0.6299999999999997}",20,0,-140.40452049528912,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
38,False,"{'a': 0.5, 'e': 0.6199999999999997}",25,0,-66.96906700093719,"{0: 17, 1: 4, 2: 3, 3: 0, 4: 1}",0
