trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.98}",20,0,-176.20459054775537,"{0: 9, 1: 1, 2: 6, 3: 2, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.97}",35,0,-200.33058241026964,"{0: 21, 1: 4, 2: 5, 3: 2, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.96}",25,0,-107.7890376987813,"{0: 19, 1: 0, 2: 3, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.95}",20,0,-193.72055958976705,"{0: 7, 1: 5, 2: 2, 3: 4, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.94}",20,0,-139.70545408183781,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.9299999999999999}",20,0,-203.8292342437168,"{0: 9, 1: 3, 2: 4, 3: 0, 4: 4}",0
7,False,"{'a': 0.5, 'e': 0.9199999999999999}",25,6,-64.21816867567289,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 1}",1
8,False,"{'a': 0.5, 'e': 0.9099999999999999}",20,0,-109.58767672602458,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.8999999999999999}",35,0,-150.05300586724462,"{0: 23, 1: 5, 2: 3, 3: 2, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.8899999999999999}",20,0,-67.80729327711758,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.8799999999999999}",20,0,-19.74697500167133,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.8699999999999999}",20,0,-71.94855140501784,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.8599999999999999}",30,0,-92.0694899512072,"{0: 19, 1: 3, 2: 6, 3: 2, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-84.32921866663749,"{0: 14, 1: 1, 2: 2, 3: 2, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.8399999999999999}",25,0,-98.46433874630351,"{0: 15, 1: 1, 2: 7, 3: 2, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.8299999999999998}",30,0,-165.0992104409503,"{0: 20, 1: 2, 2: 4, 3: 1, 4: 3}",0
17,False,"{'a': 0.5, 'e': 0.8199999999999998}",20,0,-39.34798422024197,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.8099999999999998}",25,0,-159.56062217273393,"{0: 16, 1: 1, 2: 3, 3: 3, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-140.83887718634816,"{0: 19, 1: 0, 2: 2, 3: 1, 4: 3}",0
20,False,"{'a': 0.5, 'e': 0.7899999999999998}",20,0,-142.62707051952594,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 3}",0
21,False,"{'a': 0.5, 'e': 0.7799999999999998}",25,15,-7.734304405843853,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
22,False,"{'a': 0.5, 'e': 0.7699999999999998}",20,0,-101.1122153113412,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
23,False,"{'a': 0.5, 'e': 0.7599999999999998}",20,0,-83.28589722547156,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
24,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-179.01743521574966,"{0: 14, 1: 1, 2: 5, 3: 3, 4: 2}",0
25,False,"{'a': 0.5, 'e': 0.7399999999999998}",20,0,-82.05641235317496,"{0: 10, 1: 5, 2: 3, 3: 2, 4: 0}",0
26,False,"{'a': 0.5, 'e': 0.7299999999999998}",25,0,0.29608740398185174,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
27,False,"{'a': 0.5, 'e': 0.7199999999999998}",25,0,-86.4251926832147,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
28,False,"{'a': 0.5, 'e': 0.7099999999999997}",25,6,-85.9877694588772,"{0: 13, 1: 3, 2: 1, 3: 0, 4: 2}",1
29,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-22.50770673438,"{0: 21, 1: 0, 2: 3, 3: 1, 4: 0}",0
30,False,"{'a': 0.5, 'e': 0.6899999999999997}",20,0,-50.044698967324486,"{0: 16, 1: 2, 2: 0, 3: 1, 4: 1}",1
31,False,"{'a': 0.5, 'e': 0.6799999999999997}",25,5,-33.475444161145305,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",1
32,False,"{'a': 0.5, 'e': 0.6699999999999997}",25,4,0.003864799882147496,"{0: 18, 1: 1, 2: 2, 3: 0, 4: 0}",1
33,False,"{'a': 0.5, 'e': 0.6599999999999997}",20,7,-167.29170154059247,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 4}",1
34,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,16,-76.93308289324743,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 2}",1
35,False,"{'a': 0.5, 'e': 0.6399999999999997}",20,0,-15.312956627826138,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
36,False,"{'a': 0.5, 'e': 0.6299999999999997}",30,0,-96.69128734436457,"{0: 20, 1: 2, 2: 5, 3: 3, 4: 0}",0
37,False,"{'a': 0.5, 'e': 0.6199999999999997}",25,0,-54.522434470884846,"{0: 19, 1: 3, 2: 1, 3: 1, 4: 1}",0
38,False,"{'a': 0.5, 'e': 0.6099999999999997}",20,1,-16.509234742085592,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 0}",1
39,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-57.55065231427748,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
40,False,"{'a': 0.5, 'e': 0.5899999999999996}",25,0,-37.60447915022935,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 0}",0
41,False,"{'a': 0.5, 'e': 0.5799999999999996}",25,0,-140.41244229899652,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
42,False,"{'a': 0.5, 'e': 0.5699999999999996}",20,4,-126.47535402614825,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 3}",1
43,False,"{'a': 0.5, 'e': 0.5599999999999996}",35,12,-112.12591490732177,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 3}",1
44,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-28.870404280250582,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
45,False,"{'a': 0.5, 'e': 0.5399999999999996}",25,9,6.673235491531722,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
46,False,"{'a': 0.5, 'e': 0.5299999999999996}",20,0,-94.88805275754076,"{0: 12, 1: 0, 2: 7, 3: 0, 4: 1}",0
47,False,"{'a': 0.5, 'e': 0.5199999999999996}",30,0,-23.791057734445236,"{0: 25, 1: 1, 2: 3, 3: 1, 4: 0}",0
48,False,"{'a': 0.5, 'e': 0.5099999999999996}",25,14,-20.341011812849782,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
49,False,"{'a': 0.5, 'e': 0.49999999999999956}",25,8,15.838019395334214,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
50,False,"{'a': 0.5, 'e': 0.48999999999999955}",25,14,-32.79679441301907,"{0: 7, 1: 1, 2: 2, 3: 1, 4: 0}",1
51,False,"{'a': 0.5, 'e': 0.47999999999999954}",20,11,-13.95716287677918,"{0: 7, 1: 1, 2: 0, 3: 1, 4: 0}",1
52,False,"{'a': 0.5, 'e': 0.46999999999999953}",25,3,-65.0056498115385,"{0: 17, 1: 0, 2: 3, 3: 1, 4: 1}",1
53,False,"{'a': 0.5, 'e': 0.4599999999999995}",25,0,-58.454768579981284,"{0: 20, 1: 0, 2: 3, 3: 1, 4: 1}",0
54,False,"{'a': 0.5, 'e': 0.4499999999999995}",25,7,-31.030022018946703,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 1}",1
55,False,"{'a': 0.5, 'e': 0.4399999999999995}",25,11,-11.511498114021776,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 0}",1
