trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9801}",25,0,-159.4404429655365,"{0: 10, 1: 3, 2: 10, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.970299}",25,0,-158.0178751022132,"{0: 13, 1: 4, 2: 5, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.96059601}",20,0,-160.84987379582975,"{0: 9, 1: 2, 2: 6, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.9509900498999999}",20,0,-83.04552551239364,"{0: 11, 1: 1, 2: 7, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.941480149401}",25,0,-93.98727194546454,"{0: 15, 1: 1, 2: 7, 3: 2, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.9320653479069899}",25,0,-136.35644318195025,"{0: 13, 1: 3, 2: 6, 3: 2, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.9227446944279201}",20,0,-92.63285984343727,"{0: 14, 1: 1, 2: 2, 3: 2, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.9135172474836408}",25,2,-82.79368169947386,"{0: 15, 1: 3, 2: 3, 3: 1, 4: 1}",1
9,False,"{'a': 0.5, 'e': 0.9043820750088044}",25,2,-156.72686468259948,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 3}",1
10,False,"{'a': 0.5, 'e': 0.8953382542587164}",35,14,-144.03724010490308,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 3}",1
11,False,"{'a': 0.5, 'e': 0.8863848717161292}",30,0,-108.54688992836964,"{0: 20, 1: 4, 2: 3, 3: 2, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.8775210229989678}",25,0,-131.9430978166846,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.8687458127689782}",20,0,-76.65253311413474,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.8600583546412884}",30,0,-200.7594703016999,"{0: 17, 1: 1, 2: 8, 3: 1, 4: 3}",0
15,False,"{'a': 0.5, 'e': 0.8514577710948755}",25,0,-129.969100906321,"{0: 13, 1: 3, 2: 7, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.8429431933839268}",20,0,-102.92324796520218,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
