trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.2, 'e': 0.999000499833375}",35,1,-222.62837255259484,"{0: 18, 1: 0, 2: 12, 3: 2, 4: 2}",1
2,False,"{'a': 0.2, 'e': 0.9980019986673331}",25,0,-249.98617104918173,"{0: 11, 1: 4, 2: 4, 3: 2, 4: 4}",0
3,False,"{'a': 0.2, 'e': 0.997004495503373}",25,0,-33.45202737494849,"{0: 19, 1: 3, 2: 2, 3: 1, 4: 0}",0
4,False,"{'a': 0.2, 'e': 0.9960079893439915}",25,0,-88.4116987149624,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
5,False,"{'a': 0.2, 'e': 0.9950124791926823}",20,0,-85.9692685056092,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
6,False,"{'a': 0.2, 'e': 0.9940179640539353}",25,0,-154.05321544797334,"{0: 13, 1: 3, 2: 3, 3: 6, 4: 0}",0
7,False,"{'a': 0.2, 'e': 0.9930244429332351}",30,1,-151.40951113229204,"{0: 14, 1: 4, 2: 7, 3: 4, 4: 0}",1
8,False,"{'a': 0.2, 'e': 0.9920319148370607}",20,0,-129.39255226501822,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
9,False,"{'a': 0.2, 'e': 0.9910403787728836}",30,0,-222.99043600912148,"{0: 17, 1: 4, 2: 2, 3: 4, 4: 3}",0
10,False,"{'a': 0.2, 'e': 0.9900498337491681}",20,0,-39.98727627370733,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
11,False,"{'a': 0.2, 'e': 0.9890602787753687}",30,0,-76.3661892805045,"{0: 19, 1: 3, 2: 8, 3: 0, 4: 0}",0
12,False,"{'a': 0.2, 'e': 0.9880717128619305}",20,0,-84.77453143448737,"{0: 12, 1: 4, 2: 2, 3: 1, 4: 1}",0
13,False,"{'a': 0.2, 'e': 0.9870841350202876}",35,0,-259.9512314005198,"{0: 24, 1: 1, 2: 3, 3: 2, 4: 5}",0
14,False,"{'a': 0.2, 'e': 0.9860975442628619}",25,0,-65.30209413186859,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
15,False,"{'a': 0.2, 'e': 0.9851119396030626}",25,0,-111.74298040122014,"{0: 16, 1: 3, 2: 3, 3: 2, 4: 1}",0
16,False,"{'a': 0.2, 'e': 0.9841273200552851}",30,0,-199.6526831389335,"{0: 14, 1: 2, 2: 11, 3: 1, 4: 2}",0
17,False,"{'a': 0.2, 'e': 0.9831436846349096}",20,0,-72.07943607854871,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
18,False,"{'a': 0.2, 'e': 0.9821610323583008}",30,0,-89.0256331220472,"{0: 24, 1: 2, 2: 0, 3: 3, 4: 1}",0
