trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.99}",20,0,-113.30789920387413,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.98}",20,0,-130.9544858466331,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.97}",35,0,-259.7712733767116,"{0: 19, 1: 3, 2: 8, 3: 1, 4: 4}",0
4,False,"{'a': 0.5, 'e': 0.96}",20,0,-55.34667315383451,"{0: 13, 1: 0, 2: 7, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.95}",35,0,-335.9501193494443,"{0: 18, 1: 4, 2: 6, 3: 0, 4: 7}",0
6,False,"{'a': 0.5, 'e': 0.94}",20,0,-87.14257937234125,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.9299999999999999}",25,0,-92.64633334992487,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.9199999999999999}",20,0,-117.79157448808101,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.9099999999999999}",25,0,-153.7907849730477,"{0: 13, 1: 4, 2: 5, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-157.21840840767774,"{0: 12, 1: 4, 2: 7, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.8899999999999999}",30,0,-170.62423895000995,"{0: 20, 1: 2, 2: 4, 3: 1, 4: 3}",0
12,False,"{'a': 0.5, 'e': 0.8799999999999999}",20,0,-87.96672807258035,"{0: 12, 1: 0, 2: 6, 3: 2, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.8699999999999999}",20,0,-32.435498452577974,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.8599999999999999}",25,0,-72.79834165598798,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-110.66000448582557,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.8399999999999999}",30,0,-198.74708936018897,"{0: 16, 1: 4, 2: 6, 3: 1, 4: 3}",0
17,False,"{'a': 0.5, 'e': 0.8299999999999998}",30,14,-152.17760195916378,"{0: 8, 1: 1, 2: 4, 3: 0, 4: 3}",1
18,False,"{'a': 0.5, 'e': 0.8199999999999998}",20,0,-69.16158271493556,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.8099999999999998}",25,5,-70.85016713277012,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",1
20,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-121.48045984562273,"{0: 10, 1: 1, 2: 7, 3: 1, 4: 1}",0
21,False,"{'a': 0.5, 'e': 0.7899999999999998}",20,0,-60.38357778125977,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
22,False,"{'a': 0.5, 'e': 0.7799999999999998}",20,0,-53.76872314676648,"{0: 12, 1: 4, 2: 3, 3: 1, 4: 0}",0
23,False,"{'a': 0.5, 'e': 0.7699999999999998}",25,0,-96.79962151437552,"{0: 18, 1: 0, 2: 4, 3: 2, 4: 1}",0
24,False,"{'a': 0.5, 'e': 0.7599999999999998}",20,0,-140.95176480011688,"{0: 12, 1: 1, 2: 3, 3: 2, 4: 2}",0
25,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,8,-69.89333589666073,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 2}",1
26,False,"{'a': 0.5, 'e': 0.7399999999999998}",20,0,-181.83952272807753,"{0: 12, 1: 0, 2: 3, 3: 2, 4: 3}",0
27,False,"{'a': 0.5, 'e': 0.7299999999999998}",20,0,-107.65002445209792,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
28,False,"{'a': 0.5, 'e': 0.7199999999999998}",20,0,-59.191342135810494,"{0: 14, 1: 1, 2: 3, 3: 2, 4: 0}",0
29,False,"{'a': 0.5, 'e': 0.7099999999999997}",30,0,-231.4507231282052,"{0: 17, 1: 2, 2: 6, 3: 1, 4: 4}",0
30,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-88.13706727491055,"{0: 11, 1: 2, 2: 5, 3: 2, 4: 0}",0
31,False,"{'a': 0.5, 'e': 0.6899999999999997}",20,4,-70.36127966017162,"{0: 10, 1: 2, 2: 3, 3: 0, 4: 1}",1
32,False,"{'a': 0.5, 'e': 0.6799999999999997}",25,0,-153.06615667281085,"{0: 18, 1: 1, 2: 2, 3: 1, 4: 3}",0
33,False,"{'a': 0.5, 'e': 0.6699999999999997}",30,0,-155.1626578357804,"{0: 19, 1: 5, 2: 3, 3: 0, 4: 3}",0
34,False,"{'a': 0.5, 'e': 0.6599999999999997}",25,0,-142.76649526075875,"{0: 14, 1: 4, 2: 4, 3: 1, 4: 2}",0
35,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-95.79749864182688,"{0: 14, 1: 4, 2: 5, 3: 2, 4: 0}",0
36,False,"{'a': 0.5, 'e': 0.6399999999999997}",20,0,-211.49363246764332,"{0: 9, 1: 2, 2: 5, 3: 0, 4: 4}",0
37,False,"{'a': 0.5, 'e': 0.6299999999999997}",30,0,-184.1545172594422,"{0: 17, 1: 4, 2: 6, 3: 0, 4: 3}",0
38,False,"{'a': 0.5, 'e': 0.6199999999999997}",20,0,-68.61711881031655,"{0: 12, 1: 3, 2: 3, 3: 2, 4: 0}",0
39,False,"{'a': 0.5, 'e': 0.6099999999999997}",20,0,-119.14509451425366,"{0: 9, 1: 2, 2: 8, 3: 0, 4: 1}",0
40,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-106.08336663832343,"{0: 17, 1: 1, 2: 4, 3: 2, 4: 1}",0
41,False,"{'a': 0.5, 'e': 0.5899999999999996}",20,3,-52.74361488799737,"{0: 13, 1: 1, 2: 1, 3: 1, 4: 1}",1
42,False,"{'a': 0.5, 'e': 0.5799999999999996}",30,0,-76.10702131919648,"{0: 21, 1: 5, 2: 2, 3: 1, 4: 1}",0
43,False,"{'a': 0.5, 'e': 0.5699999999999996}",30,0,-192.0283734330695,"{0: 15, 1: 3, 2: 9, 3: 1, 4: 2}",0
44,False,"{'a': 0.5, 'e': 0.5599999999999996}",20,0,-131.43302936334175,"{0: 13, 1: 0, 2: 3, 3: 2, 4: 2}",0
45,False,"{'a': 0.5, 'e': 0.5499999999999996}",35,0,-171.50757159692958,"{0: 23, 1: 3, 2: 5, 3: 1, 4: 3}",0
46,False,"{'a': 0.5, 'e': 0.5399999999999996}",25,0,-143.17433023073863,"{0: 18, 1: 1, 2: 2, 3: 1, 4: 3}",0
47,False,"{'a': 0.5, 'e': 0.5299999999999996}",25,0,-60.67360327594378,"{0: 16, 1: 2, 2: 7, 3: 0, 4: 0}",0
48,False,"{'a': 0.5, 'e': 0.5199999999999996}",25,8,-23.924373645736818,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 0}",1
49,False,"{'a': 0.5, 'e': 0.5099999999999996}",25,3,-121.82131471769135,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 2}",1
50,False,"{'a': 0.5, 'e': 0.49999999999999956}",20,0,-47.686639850277125,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
51,False,"{'a': 0.5, 'e': 0.48999999999999955}",30,0,-160.08369753676445,"{0: 15, 1: 4, 2: 8, 3: 2, 4: 1}",0
52,False,"{'a': 0.5, 'e': 0.47999999999999954}",20,0,-73.8875827464228,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 1}",0
53,False,"{'a': 0.5, 'e': 0.46999999999999953}",20,0,-41.781803589989494,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
54,False,"{'a': 0.5, 'e': 0.4599999999999995}",25,0,-183.43073235320563,"{0: 15, 1: 0, 2: 6, 3: 1, 4: 3}",0
55,False,"{'a': 0.5, 'e': 0.4499999999999995}",20,0,-103.80903489477737,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
56,False,"{'a': 0.5, 'e': 0.4399999999999995}",20,0,-120.16158643783965,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
57,False,"{'a': 0.5, 'e': 0.4299999999999995}",20,0,-58.42021563645213,"{0: 15, 1: 0, 2: 3, 3: 2, 4: 0}",0
58,False,"{'a': 0.5, 'e': 0.4199999999999995}",20,0,-133.13123866215054,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
59,False,"{'a': 0.5, 'e': 0.4099999999999995}",20,0,-39.4120666305215,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
60,False,"{'a': 0.5, 'e': 0.39999999999999947}",25,0,-112.91954364522374,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
61,False,"{'a': 0.5, 'e': 0.38999999999999946}",20,0,-90.54747527447273,"{0: 13, 1: 4, 2: 1, 3: 0, 4: 2}",0
62,False,"{'a': 0.5, 'e': 0.37999999999999945}",30,0,-147.8296149188308,"{0: 19, 1: 1, 2: 6, 3: 3, 4: 1}",0
63,False,"{'a': 0.5, 'e': 0.36999999999999944}",25,0,-37.66550164180069,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 0}",0
64,False,"{'a': 0.5, 'e': 0.35999999999999943}",25,0,-102.09687740115146,"{0: 15, 1: 4, 2: 4, 3: 1, 4: 1}",0
65,False,"{'a': 0.5, 'e': 0.3499999999999994}",20,0,-33.69929938743998,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
66,False,"{'a': 0.5, 'e': 0.3399999999999994}",25,0,-149.30620194632576,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 2}",0
67,False,"{'a': 0.5, 'e': 0.3299999999999994}",25,8,-65.53408997059114,"{0: 12, 1: 0, 2: 4, 3: 0, 4: 1}",1
68,False,"{'a': 0.5, 'e': 0.3199999999999994}",30,0,-126.96975966203145,"{0: 19, 1: 0, 2: 9, 3: 1, 4: 1}",0
69,False,"{'a': 0.5, 'e': 0.3099999999999994}",35,0,-319.0454946036393,"{0: 18, 1: 3, 2: 5, 3: 4, 4: 5}",0
70,False,"{'a': 0.5, 'e': 0.2999999999999994}",30,0,-183.618871921999,"{0: 16, 1: 4, 2: 6, 3: 2, 4: 2}",0
71,False,"{'a': 0.5, 'e': 0.28999999999999937}",20,0,-142.2031569466512,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
72,False,"{'a': 0.5, 'e': 0.27999999999999936}",35,0,-118.14625075181732,"{0: 20, 1: 5, 2: 8, 3: 2, 4: 0}",0
73,False,"{'a': 0.5, 'e': 0.26999999999999935}",20,0,-75.67222893224417,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
74,False,"{'a': 0.5, 'e': 0.25999999999999934}",30,0,-281.9601548739183,"{0: 16, 1: 1, 2: 7, 3: 1, 4: 5}",0
75,False,"{'a': 0.5, 'e': 0.24999999999999933}",25,0,-38.890360046294646,"{0: 19, 1: 0, 2: 6, 3: 0, 4: 0}",0
76,False,"{'a': 0.5, 'e': 0.23999999999999932}",30,0,-63.32390839881786,"{0: 22, 1: 3, 2: 4, 3: 0, 4: 1}",0
77,False,"{'a': 0.5, 'e': 0.22999999999999932}",20,0,-145.55360926008802,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
78,False,"{'a': 0.5, 'e': 0.2199999999999993}",25,0,-125.21687864466728,"{0: 15, 1: 4, 2: 2, 3: 3, 4: 1}",0
79,False,"{'a': 0.5, 'e': 0.2099999999999993}",30,0,-51.93268947454347,"{0: 21, 1: 2, 2: 7, 3: 0, 4: 0}",1
80,False,"{'a': 0.5, 'e': 0.1999999999999993}",20,5,-25.0858750437071,"{0: 11, 1: 0, 2: 4, 3: 0, 4: 0}",1
81,False,"{'a': 0.5, 'e': 0.18999999999999928}",20,0,-173.22701374760396,"{0: 8, 1: 3, 2: 6, 3: 1, 4: 2}",0
82,False,"{'a': 0.5, 'e': 0.17999999999999927}",25,0,-143.92221167186324,"{0: 15, 1: 1, 2: 5, 3: 3, 4: 1}",0
83,False,"{'a': 0.5, 'e': 0.16999999999999926}",20,0,-97.3350326082879,"{0: 11, 1: 2, 2: 4, 3: 3, 4: 0}",0
84,False,"{'a': 0.5, 'e': 0.15999999999999925}",20,0,-40.34421683398893,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",1
85,False,"{'a': 0.5, 'e': 0.14999999999999925}",25,0,-34.860000364099825,"{0: 19, 1: 3, 2: 2, 3: 1, 4: 0}",0
86,False,"{'a': 0.5, 'e': 0.13999999999999924}",20,0,-59.849374154911445,"{0: 13, 1: 3, 2: 2, 3: 2, 4: 0}",0
87,False,"{'a': 0.5, 'e': 0.12999999999999923}",20,0,-168.5711822180647,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 4}",0
88,False,"{'a': 0.5, 'e': 0.11999999999999923}",20,0,-42.10817842584504,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
89,False,"{'a': 0.5, 'e': 0.10999999999999924}",30,10,-69.64234653555346,"{0: 13, 1: 1, 2: 4, 3: 2, 4: 0}",1
90,False,"{'a': 0.5, 'e': 0.09999999999999924}",25,0,-214.25344277859233,"{0: 13, 1: 2, 2: 6, 3: 0, 4: 4}",0
91,False,"{'a': 0.5, 'e': 0.08999999999999925}",20,0,-52.765093975824215,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
92,False,"{'a': 0.5, 'e': 0.07999999999999925}",25,0,-370.3426137107731,"{0: 9, 1: 1, 2: 7, 3: 1, 4: 7}",0
93,False,"{'a': 0.5, 'e': 0.06999999999999926}",25,0,-169.99289606611853,"{0: 10, 1: 6, 2: 7, 3: 0, 4: 2}",0
94,False,"{'a': 0.5, 'e': 0.059999999999999255}",25,0,-161.44946269769528,"{0: 16, 1: 1, 2: 5, 3: 0, 4: 3}",0
95,False,"{'a': 0.5, 'e': 0.04999999999999925}",30,0,-199.76113909148663,"{0: 16, 1: 1, 2: 9, 3: 2, 4: 2}",0
1,True,"{'a': 0, 'e': 0}",20,0,-48.06033479043265,"{0: 8, 1: 12, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",20,0,-35.862482793558264,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",25,0,-31.06569533867038,"{0: 13, 1: 12, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",20,0,-18.600506826515275,"{0: 12, 1: 8, 2: 0, 3: 0, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",25,0,-15.517687072759639,"{0: 16, 1: 9, 2: 0, 3: 0, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",30,0,-25.796448252693587,"{0: 19, 1: 11, 2: 0, 3: 0, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",35,0,-36.004315119387364,"{0: 22, 1: 13, 2: 0, 3: 0, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",20,0,-43.595955583297055,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",30,0,-45.115062962140804,"{0: 16, 1: 14, 2: 0, 3: 0, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",25,0,-29.80580809376288,"{0: 15, 1: 10, 2: 0, 3: 0, 4: 0}",0
