trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.2, 'e': 0.9900498337491681}",35,0,-199.18454758861859,"{0: 18, 1: 3, 2: 9, 3: 4, 4: 1}",0
2,False,"{'a': 0.2, 'e': 0.9801986733067553}",20,0,-164.1602861108105,"{0: 8, 1: 4, 2: 5, 3: 1, 4: 2}",0
3,False,"{'a': 0.2, 'e': 0.9704455335485082}",20,0,-111.54821125006904,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
4,False,"{'a': 0.2, 'e': 0.9607894391523232}",30,0,-121.51392506429316,"{0: 22, 1: 0, 2: 5, 3: 1, 4: 2}",0
5,False,"{'a': 0.2, 'e': 0.951229424500714}",25,0,-74.61024478881937,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",1
6,False,"{'a': 0.2, 'e': 0.9417645335842487}",25,0,-88.25633177956786,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 2}",0
7,False,"{'a': 0.2, 'e': 0.9323938199059483}",20,0,-49.48511046687387,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
8,False,"{'a': 0.2, 'e': 0.9231163463866358}",25,0,-54.225290299146046,"{0: 16, 1: 4, 2: 5, 3: 0, 4: 0}",0
9,False,"{'a': 0.2, 'e': 0.9139311852712282}",30,0,-125.43508636896121,"{0: 20, 1: 2, 2: 6, 3: 0, 4: 2}",0
10,False,"{'a': 0.2, 'e': 0.9048374180359595}",20,0,-94.9695064422432,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
11,False,"{'a': 0.2, 'e': 0.8958341352965282}",20,14,-1.788833780979723,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
12,False,"{'a': 0.2, 'e': 0.8869204367171575}",30,0,-155.79782354122509,"{0: 17, 1: 3, 2: 8, 3: 0, 4: 2}",0
13,False,"{'a': 0.2, 'e': 0.8780954309205613}",30,0,-89.63097626756392,"{0: 18, 1: 3, 2: 8, 3: 1, 4: 0}",0
