trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-132.6783126971449,"{0: 17, 1: 3, 2: 9, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,2,-32.90706155822154,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 0}",1
3,False,"{'a': 0.5, 'e': 1.0}",30,0,-70.14415020070845,"{0: 20, 1: 1, 2: 9, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-80.0584832166642,"{0: 15, 1: 2, 2: 7, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-35.28703275231793,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-104.98903516055728,"{0: 14, 1: 3, 2: 7, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-45.893364806645266,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",1
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-100.9669002331612,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-33.899219027978596,"{0: 18, 1: 3, 2: 4, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,8,-50.793435420350995,"{0: 6, 1: 1, 2: 5, 3: 0, 4: 0}",1
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-69.3568834299473,"{0: 15, 1: 4, 2: 6, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-101.29616571388672,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-14.473623163605843,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-34.007507472460276,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-52.663957800029294,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-106.80799355576684,"{0: 9, 1: 4, 2: 6, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,13,-16.872956735271032,"{0: 8, 1: 1, 2: 3, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-22.164953312050596,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-44.25847913262668,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-29.939915337642194,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",30,0,-124.39700557225842,"{0: 19, 1: 1, 2: 8, 3: 1, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-102.36564531399289,"{0: 10, 1: 7, 2: 8, 3: 0, 4: 0}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-49.6751276089694,"{0: 17, 1: 3, 2: 5, 3: 0, 4: 0}",0
